algo,serie,taille,temps
quickRandomSeuil,testset3,10000,0.02363379
quickRandomSeuil,testset3,10000,0.023237896
quickRandomSeuil,testset3,10000,0.02363708
quickRandomSeuil,testset3,10000,0.023138118
quickRandomSeuil,testset3,10000,0.023537183
quickRandomSeuil,testset3,10000,0.023736382
quickRandomSeuil,testset3,10000,0.023340368
quickRandomSeuil,testset3,10000,0.023337555
quickRandomSeuil,testset3,10000,0.024134755
quickRandomSeuil,testset3,10000,0.023041224
counting,testset3,50000,0.14561224
counting,testset3,50000,0.143609047
counting,testset3,50000,0.142641068
counting,testset3,50000,0.141615868
counting,testset3,50000,0.141614914
counting,testset3,50000,0.142618895
counting,testset3,50000,0.142589092
counting,testset3,50000,0.142617941
counting,testset3,50000,0.143621922
counting,testset3,50000,0.140621901
quick,testset3,50000,0.339102745
quick,testset3,50000,0.489719868
quick,testset3,50000,0.457770824
quick,testset3,50000,0.701152802
quick,testset3,50000,0.477691174
quick,testset3,50000,0.364022732
quick,testset3,50000,0.543515921
quick,testset3,50000,0.650262356
quick,testset3,50000,0.759964466
quick,testset3,50000,0.386959314
quickSeuil,testset3,50000,0.356034994
quickSeuil,testset3,50000,0.495644569
quickSeuil,testset3,50000,0.474703074
quickSeuil,testset3,50000,0.709103346
quickSeuil,testset3,50000,0.498695135
quickSeuil,testset3,50000,0.377989054
quickSeuil,testset3,50000,0.550556183
quickSeuil,testset3,50000,0.666217804
quickSeuil,testset3,50000,0.778923273
quickSeuil,testset3,50000,0.401931524
quickRandomSeuil,testset3,50000,0.143214178
quickRandomSeuil,testset3,50000,0.138928413
quickRandomSeuil,testset3,50000,0.140327406
quickRandomSeuil,testset3,50000,0.139424324
quickRandomSeuil,testset3,50000,0.136933589
quickRandomSeuil,testset3,50000,0.138928151
quickRandomSeuil,testset3,50000,0.140222049
quickRandomSeuil,testset3,50000,0.142116857
quickRandomSeuil,testset3,50000,0.139925337
quickRandomSeuil,testset3,50000,0.138626218
counting,testset3,100000,0.286263704
counting,testset3,100000,0.284240007
counting,testset3,100000,0.285207987
counting,testset3,100000,0.287236452
counting,testset3,100000,0.28523469
counting,testset3,100000,0.283241034
counting,testset3,100000,0.284217358
